,Date,MLSid,MLS Name,Street,Price,Bedrooms,Bathrooms,Appliances,Description,Fullbath,Halfbath,Threequarter Bath,Rooms
6,2016-03-16 00:00:00,16106762,CLAW,23826 MALIBU RD,25000.0,3,0, Built-Ins Microwave RangeOven ,0,3,1,0,7
7,2016-03-25 00:00:00,16109128,CLAW,"23410 Civic Center Way, C1",6500.0,2,0, Built-Ins Microwave Built-In Gas Cooktop - Gas Double Oven Range Hood ,0,1,1,0,4
8,2016-04-12 00:00:00,16114818,CLAW,943 16th ST,5800000.0,3,0, Built-Ins Range Hood RangeOven ,0,3,0,0,6
9,2016-04-13 00:00:00,16115130,CLAW,1333 Montana Ave,5499.0,3,0,,0,2,0,0,5
10,2016-04-14 00:00:00,16115640,CLAW,27061 SEA VISTA DR,798000.0,0,0,,0,0,0,0,0
11,2016-04-25 00:00:00,16118008,CLAW,"23410 Civic Center Way, C1",6995000.0,5,0, Built-In BBQ RangeOven ,0,4,0,0,9
12,2016-05-06 00:00:00,16122648,CLAW,27086 MALIBU COVE COLONY DR,6649000.0,3,0,,0,3,1,0,7
13,2016-05-16 00:00:00,16125100,CLAW,"23410 Civic Center Way, C1",150000.0,6,0, Built-In BBQ Built-Ins Microwave RangeOven ,0,7,1,0,14
14,2016-05-26 00:00:00,16129206,CLAW,36 BREEZE AVE,5975.0,4,0,,0,2,0,0,6
15,2016-06-02 00:00:00,16130744,CLAW,1730 Ocean Park Blvd,2450000.0,0,0,,0,0,0,0,0
16,2016-06-05 00:00:00,16132084,CLAW,31652 BROAD BEACH RD,2888000.0,0,0,,0,0,0,0,0
17,2016-06-06 00:00:00,16132158,CLAW,"9378 Wilshire Boulevard, Suite 200",27500.0,3,0, Built-In BBQ Microwave RangeOven ,0,5,0,0,8
18,2016-07-15 00:00:00,16133142,CLAW,1912 KELTON AVE,1699000.0,3,0, RangeOven ,0,2,1,0,6
19,2016-06-11 00:00:00,16134056,CLAW,"11726 San Vicente Blvd, Suite 350",1498000.0,0,0,,0,0,0,0,0
20,2016-06-14 00:00:00,16134704,CLAW,11258 Laurie Drive,1298000.0,0,0,,0,0,0,0,0
21,2016-06-14 00:00:00,16134756,CLAW,"9378 Wilshire Boulevard, Suite 200",1298000.0,0,0,,0,0,0,0,0
22,2016-06-16 00:00:00,16134906,CLAW,28011 PAQUET PL,1749000.0,2,0, Range Hood Microwave Cooktop - Gas Oven-Gas ,0,2,0,0,4
23,2016-06-16 00:00:00,16135516,CLAW,"23410 Civic Center Way, C1",2195000.0,3,0, Built-Ins Range Hood RangeOven ,0,3,0,0,6
24,2016-07-06 00:00:00,16136820,CLAW,6237 BONSALL DR,17500000.0,5,0, Built-In BBQ Built-Ins RangeOven ,0,5,2,0,12
25,2016-06-22 00:00:00,16137056,CLAW,"23410 Civic Center Way, C1",2035000.0,2,0, Range Hood Microwave ,0,2,0,0,4
26,2016-06-24 00:00:00,16137086,CLAW,0 BROAD BEACH RD,3195000.0,4,0, Built-In BBQ RangeOven ,0,4,1,0,9
27,2016-07-06 00:00:00,16141262,CLAW,"23410 Civic Center Way, C1",34999.0,5,0, Built-In BBQ Built-Ins Range Hood Microwave RangeOven ,0,5,1,0,11
28,2016-07-11 00:00:00,16142180,CLAW,31341 BIRDELLA RD,20000000.0,3,0, Built-In BBQ ,0,2,1,0,6
29,2016-07-21 00:00:00,16142204,CLAW,"9378 Wilshire Boulevard, Suite 200",1399000.0,3,0, Built-In Gas ,0,1,0,0,4
30,2016-07-18 00:00:00,16144050,CLAW,32036 PACIFIC COAST HWY,5495000.0,6,0, Built-Ins Range Hood Microwave RangeOven ,0,3,0,0,9
31,2016-07-21 00:00:00,16145020,CLAW,"23410 Civic Center Way, C1",10500000.0,7,0,,0,7,0,0,14
32,2016-07-22 00:00:00,16146358,CLAW,888 Blackmore DR,468300.0,2,0,,0,1,0,0,3
33,2016-07-22 00:00:00,16146576,CLAW,"9378 Wilshire Boulevard, Suite 200",336900.0,2,0,,0,1,0,0,3
